Rk,Player,Age,Pos,Date,Tm,,Opp,,GS,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc
1407,Scottie Pippen\pippesc01,31-056,F-G,1996-11-20,CHI,@,PHO,W,1,36,15,23,.652,9,13,.692,6,10,.600,1,3,.333,3,5,8,7,1,2,3,2,37,33.2
1408,Christian Laettner\laettch01,27-088,F-C,1996-11-13,ATL,@,BOS,L,1,36,11,15,.733,8,10,.800,3,5,.600,2,4,.500,4,9,13,8,3,0,4,2,27,29.4
1409,Mookie Blaylock\blaylmo01,29-237,G,1996-11-12,ATL,,CLE,W,1,44,15,26,.577,9,12,.750,6,14,.429,3,4,.750,3,5,8,8,2,0,3,3,39,33.4
1410,Steve Smith\smithst01,27-219,G,1996-11-05,ATL,@,SEA,W,1,38,8,19,.421,3,8,.375,5,11,.455,6,6,1.000,3,6,9,7,2,0,4,2,27,22.9
1411,Oliver Miller\milleol01,26-015,C,1996-04-21,TOR,,PHI,L,1,51,15,25,.600,15,25,.600,0,0,,5,8,.625,8,4,12,9,4,3,8,5,35,31.5
1412,Elliot Perry\perryel01,27-024,G,1996-04-21,PHO,@,HOU,L,1,48,14,22,.636,12,19,.632,2,3,.667,5,6,.833,0,7,7,11,5,0,3,1,35,36.2
1413,Patrick Ewing\ewingpa01,33-258,C-F,1996-04-19,NYK,,CHH,L,1,44,10,26,.385,10,24,.417,0,2,.000,8,9,.889,3,12,15,11,0,1,1,3,28,25.3
1414,Jason Kidd\kiddja01,23-027,G,1996-04-19,DAL,@,PHO,L,1,40,14,23,.609,10,18,.556,4,5,.800,5,6,.833,2,6,8,10,2,0,9,1,37,28.9
1415,Juwan Howard\howarju01,23-052,F,1996-03-30,WSB,,PHI,W,1,41,15,24,.625,15,24,.625,0,0,,2,2,1.000,4,5,9,9,2,1,5,6,32,27.1
1416,Magic Johnson\johnsma02,36-226,G-F,1996-03-27,LAL,@,MIA,W,1,39,6,8,.750,6,8,.750,0,0,,15,15,1.000,1,8,9,9,1,0,4,1,27,29.8
1417,Gary Payton\paytoga01,27-245,G,1996-03-24,SEA,@,SAC,W,1,46,14,26,.538,12,23,.522,2,3,.667,8,9,.889,5,6,11,9,2,0,4,4,38,33.0
1418,Hakeem Olajuwon\olajuha01,33-062,C,1996-03-23,HOU,,MIN,L,1,44,16,23,.696,16,23,.696,0,0,,14,18,.778,7,12,19,8,3,3,6,3,46,46.7
1419,Shaquille O'Neal\onealsh01,24-014,C,1996-03-20,ORL,@,BOS,W,1,33,12,18,.667,12,18,.667,0,0,,4,10,.400,3,11,14,8,0,2,2,3,28,27.0
1420,Tim Hardaway\hardati01,29-197,G,1996-03-16,MIA,@,HOU,W,1,39,10,19,.526,7,13,.538,3,6,.500,5,6,.833,1,7,8,15,0,0,4,1,28,27.2
1421,Karl Malone\malonka01,32-236,F,1996-03-16,UTA,@,WSB,L,1,46,12,18,.667,12,18,.667,0,0,,8,9,.889,3,8,11,8,4,0,4,1,32,33.5
1422,Anfernee Hardaway\hardaan01,24-241,G-F,1996-03-15,ORL,@,VAN,W,1,45,9,19,.474,8,16,.500,1,3,.333,10,13,.769,2,5,7,12,2,0,4,3,29,26.2
1423,Karl Malone\malonka01,32-235,F,1996-03-15,UTA,@,IND,W,1,40,11,19,.579,11,19,.579,0,0,,5,8,.625,2,5,7,9,2,0,1,3,27,25.9
1424,Grant Hill\hillgr01,23-158,F-G,1996-03-11,DET,,LAC,W,1,42,9,16,.563,9,16,.563,0,0,,13,15,.867,2,8,10,7,0,0,5,3,31,25.1
1425,Rod Strickland\stricro02,29-243,G,1996-03-10,POR,,IND,W,1,48,11,24,.458,11,24,.458,0,0,,6,10,.600,1,7,8,11,1,0,5,3,28,19.3
1426,Larry Johnson\johnsla02,26-360,F,1996-03-08,CHH,@,ORL,L,1,49,12,20,.600,7,11,.636,5,9,.556,6,7,.857,3,5,8,9,2,1,1,4,35,35.4
1427,Anfernee Hardaway\hardaan01,24-231,G-F,1996-03-05,ORL,@,CHH,W,1,35,10,13,.769,10,11,.909,0,2,.000,7,8,.875,4,3,7,10,1,1,2,4,27,30.3
1428,Grant Hill\hillgr01,23-152,F-G,1996-03-05,DET,@,TOR,W,1,37,8,15,.533,8,13,.615,0,2,.000,15,17,.882,2,13,15,7,1,1,1,4,31,32.2
1429,Grant Hill\hillgr01,23-149,F-G,1996-03-02,DET,@,LAC,W,1,42,13,22,.591,13,22,.591,0,0,,9,9,1.000,3,8,11,8,1,0,1,2,35,34.1
1430,Juwan Howard\howarju01,23-023,F,1996-03-01,WSB,@,LAL,L,1,47,12,25,.480,12,25,.480,0,0,,3,4,.750,2,5,7,7,1,0,2,3,27,19.5
1431,Kevin Johnson\johnske02,29-363,G,1996-03-01,PHO,,DET,L,1,39,10,20,.500,9,18,.500,1,2,.500,8,8,1.000,4,3,7,16,0,0,0,3,29,32.7
1432,Shaquille O'Neal\onealsh01,23-360,C,1996-02-29,ORL,@,NJN,W,1,38,15,24,.625,15,24,.625,0,0,,3,6,.500,4,5,9,7,0,3,5,4,33,25.7
1433,Anfernee Hardaway\hardaan01,24-225,G-F,1996-02-28,ORL,,MIA,W,1,40,10,18,.556,7,10,.700,3,8,.375,4,6,.667,7,2,9,10,5,0,4,4,27,29.5
1434,Juwan Howard\howarju01,23-020,F,1996-02-27,WSB,@,DEN,L,1,41,11,23,.478,11,23,.478,0,0,,5,9,.556,6,7,13,7,0,0,3,2,27,21.1
1435,Juwan Howard\howarju01,23-011,F,1996-02-18,WSB,@,MIN,W,1,44,12,23,.522,12,22,.545,0,1,.000,6,10,.600,1,10,11,7,0,1,4,4,30,20.8
1436,Magic Johnson\johnsma02,36-186,G-F,1996-02-16,LAL,,DAL,W,0,31,10,15,.667,9,13,.692,1,2,.500,9,10,.900,3,5,8,11,2,2,3,0,30,34.8
1437,Scottie Pippen\pippesc01,30-144,F-G,1996-02-16,CHI,@,MIN,W,1,39,10,20,.500,6,12,.500,4,8,.500,5,7,.714,2,5,7,7,3,0,1,3,29,26.8
1438,Karl Malone\malonka01,32-206,F,1996-02-15,UTA,,DAL,W,1,43,13,21,.619,13,21,.619,0,0,,4,5,.800,3,10,13,9,3,3,4,2,30,31.8
1439,Clyde Drexler\drexlcl01,33-230,G,1996-02-07,HOU,@,LAC,W,1,44,9,15,.600,9,13,.692,0,2,.000,10,17,.588,3,5,8,8,3,0,6,2,28,23.7
1440,Gary Payton\paytoga01,27-195,G,1996-02-03,SEA,@,HOU,W,1,49,12,20,.600,8,14,.571,4,6,.667,4,4,1.000,3,5,8,8,4,0,3,2,32,32.2
1441,Karl Malone\malonka01,32-193,F,1996-02-02,UTA,,LAC,W,1,40,11,23,.478,11,23,.478,0,0,,5,8,.625,6,9,15,10,2,1,1,3,27,28.5
1442,Jason Kidd\kiddja01,22-315,G,1996-02-01,DAL,,SEA,W,1,47,14,22,.636,9,14,.643,5,8,.625,3,6,.500,2,7,9,8,4,1,5,1,36,33.4
1443,Shaquille O'Neal\onealsh01,23-330,C,1996-01-30,ORL,,BOS,W,1,39,14,20,.700,14,20,.700,0,0,,2,13,.154,3,16,19,7,2,5,7,3,30,26.3
1444,Jason Kidd\kiddja01,22-306,G,1996-01-23,DAL,@,SAC,W,1,43,8,19,.421,7,15,.467,1,4,.250,12,16,.750,2,8,10,10,3,0,8,3,29,21.9
1445,Karl Malone\malonka01,32-179,F,1996-01-19,UTA,,ORL,W,1,39,15,24,.625,15,24,.625,0,0,,7,10,.700,2,9,11,8,2,1,4,3,37,32.2
1446,Jason Kidd\kiddja01,22-295,G,1996-01-12,DAL,@,PHO,W,1,50,9,14,.643,8,11,.727,1,3,.333,14,14,1.000,3,9,12,16,1,1,6,4,33,36.9
1447,Christian Laettner\laettch01,26-145,F-C,1996-01-09,MIN,@,LAL,L,1,42,9,17,.529,9,17,.529,0,0,,11,12,.917,6,3,9,7,5,1,2,5,29,32.0
1448,Rod Strickland\stricro02,29-176,G,1996-01-03,POR,@,BOS,W,1,48,11,23,.478,9,17,.529,2,6,.333,3,4,.750,5,3,8,18,2,0,6,1,27,27.5
1449,Hakeem Olajuwon\olajuha01,32-346,C,1996-01-02,HOU,@,MIN,W,1,41,12,21,.571,12,21,.571,0,0,,4,4,1.000,3,8,11,8,0,0,2,4,28,24.6
1450,Anthony Mason\masonan01,29-015,F,1995-12-29,NYK,@,WSB,L,1,51,11,20,.550,11,20,.550,0,0,,8,8,1.000,2,5,7,8,1,0,2,4,30,26.3
1451,Chris Webber\webbech01,22-301,F-C,1995-12-27,WSB,,GSW,W,1,39,18,25,.720,15,21,.714,3,4,.750,1,4,.250,6,4,10,10,2,0,1,3,40,40.7
1452,Charles Barkley\barklch01,32-308,F,1995-12-25,PHO,,SAS,L,1,45,9,22,.409,8,17,.471,1,5,.200,10,12,.833,3,12,15,7,0,1,2,4,29,24.1
1453,Michael Jordan\jordami01,32-309,G-F,1995-12-23,CHI,,UTA,W,1,37,12,22,.545,11,20,.550,1,2,.500,5,5,1.000,1,6,7,8,3,1,2,2,30,28.4
1454,Karl Malone\malonka01,32-149,F,1995-12-20,UTA,@,PHI,L,1,43,11,24,.458,11,24,.458,0,0,,9,11,.818,0,8,8,8,2,0,3,2,31,24.0
1455,Scottie Pippen\pippesc01,30-084,F-G,1995-12-18,CHI,@,BOS,W,1,46,15,23,.652,13,19,.684,2,4,.500,5,7,.714,2,7,9,12,1,2,4,4,37,34.8
1456,Shawn Kemp\kempsh01,26-019,F-C,1995-12-15,SEA,,GSW,W,1,39,11,17,.647,11,17,.647,0,0,,10,14,.714,5,11,16,7,1,2,3,3,32,32.8
1457,Rod Strickland\stricro02,29-157,G,1995-12-15,POR,@,VAN,L,1,48,12,25,.480,8,18,.444,4,7,.571,1,2,.500,2,5,7,13,2,0,5,6,29,22.5
1458,Scottie Pippen\pippesc01,30-080,F-G,1995-12-14,CHI,@,ATL,W,1,38,12,19,.632,7,12,.583,5,7,.714,1,2,.500,2,6,8,8,2,3,3,3,30,29.8
1459,David Robinson\robinda01,30-130,C,1995-12-14,SAS,@,DAL,W,1,39,13,17,.765,13,17,.765,0,0,,7,7,1.000,5,8,13,7,1,1,3,3,33,34.6
1460,Derrick Coleman\colemde01,28-170,F,1995-12-08,PHI,@,CLE,L,1,42,10,14,.714,8,11,.727,2,3,.667,5,5,1.000,2,11,13,7,1,1,3,1,27,29.1
1461,Clyde Drexler\drexlcl01,33-169,G,1995-12-08,HOU,,WSB,W,1,45,9,15,.600,8,12,.667,1,3,.333,11,14,.786,3,8,11,7,3,1,4,3,30,29.8
1462,Eddie Jones\jonesed02,24-049,G-F,1995-12-08,LAL,,TOR,W,1,35,10,15,.667,7,10,.700,3,5,.600,4,6,.667,1,6,7,11,3,1,1,4,27,31.0
1463,Kenny Anderson\anderke01,25-053,G,1995-12-01,NJN,@,BOS,W,1,40,9,19,.474,5,11,.455,4,8,.500,17,19,.895,2,5,7,8,2,0,0,4,39,37.4
1464,Rick Fox\foxri01,26-130,F-G,1995-12-01,BOS,,NJN,L,1,42,14,23,.609,10,14,.714,4,9,.444,1,1,1.000,4,6,10,7,2,0,1,4,33,31.4
1465,Grant Hill\hillgr01,23-056,F-G,1995-11-30,DET,,MIA,L,1,42,11,18,.611,11,18,.611,0,0,,11,11,1.000,4,7,11,7,2,0,6,4,33,29.0
1466,Grant Hill\hillgr01,23-048,F-G,1995-11-22,DET,,WSB,L,1,43,13,21,.619,13,20,.650,0,1,.000,9,14,.643,1,7,8,7,1,3,8,4,35,24.7
1467,Shawn Kemp\kempsh01,25-357,F-C,1995-11-18,SEA,@,IND,L,1,38,8,17,.471,7,16,.438,1,1,1.000,10,14,.714,2,10,12,9,2,1,1,3,27,27.9
1468,Mahmoud Abdul-Rauf\abdulma02,26-251,G,1995-11-15,DEN,@,PHO,W,1,56,12,27,.444,10,19,.526,2,8,.250,4,4,1.000,1,7,8,20,1,0,3,4,30,29.1
1469,Tim Hardaway\hardati01,29-072,G,1995-11-12,GSW,@,PHO,L,1,40,8,17,.471,5,10,.500,3,7,.429,10,11,.909,1,6,7,8,2,0,3,2,29,26.2
1470,Anfernee Hardaway\hardaan01,24-116,G-F,1995-11-11,ORL,,MIA,W,1,42,9,20,.450,6,14,.429,3,6,.500,12,14,.857,4,3,7,7,1,0,1,2,33,29.6
1471,Anfernee Hardaway\hardaan01,24-113,G-F,1995-11-08,ORL,,NJN,W,1,54,13,21,.619,12,16,.750,1,5,.200,15,20,.750,5,3,8,8,5,2,4,1,42,42.5
1472,Jason Kidd\kiddja01,22-225,G,1995-11-03,DAL,@,SAS,W,1,35,11,17,.647,11,16,.688,0,1,.000,5,8,.625,2,7,9,8,3,0,4,0,27,26.4
1473,Michael Jordan\jordami01,32-065,G-F,1995-04-23,CHI,@,MIL,L,1,45,11,29,.379,7,25,.280,4,4,1.000,7,10,.700,4,7,11,7,3,1,4,4,33,23.8
1474,Grant Hill\hillgr01,22-198,F-G,1995-04-21,DET,@,ATL,L,1,40,13,27,.481,13,27,.481,0,0,,7,10,.700,4,5,9,7,2,1,4,4,33,24.4
1475,Chris Webber\webbech01,22-045,F-C,1995-04-15,WSB,,MIL,W,1,42,13,15,.867,13,15,.867,0,0,,3,7,.429,3,7,10,8,4,2,4,4,29,31.7
1476,Glenn Robinson\robingl01,22-094,F,1995-04-14,MIL,@,MIN,L,1,47,8,22,.364,7,18,.389,1,4,.250,11,13,.846,3,4,7,7,5,0,7,4,28,19.6
1477,Michael Jordan\jordami01,32-054,G-F,1995-04-12,CHI,@,DET,W,1,44,12,23,.522,11,21,.524,1,2,.500,4,4,1.000,1,8,9,9,0,0,4,4,29,21.5
1478,Vin Baker\bakervi01,23-139,F,1995-04-11,MIL,,DET,W,1,49,12,25,.480,12,24,.500,0,1,.000,7,9,.778,6,6,12,9,1,0,2,3,31,27.6
1479,Clyde Drexler\drexlcl01,32-293,G,1995-04-11,HOU,,DAL,L,1,51,8,24,.333,7,17,.412,1,7,.143,12,12,1.000,4,7,11,11,3,1,3,4,29,27.1
1480,Jason Kidd\kiddja01,22-019,G,1995-04-11,DAL,@,HOU,W,1,49,12,27,.444,4,15,.267,8,12,.667,6,10,.600,4,7,11,10,3,0,3,4,38,32.6
1481,Michael Jordan\jordami01,32-049,G-F,1995-04-07,CHI,,CLE,W,1,42,9,27,.333,8,25,.320,1,2,.500,9,10,.900,0,8,8,9,2,1,4,5,28,17.7
1482,Chris Webber\webbech01,22-036,F-C,1995-04-06,WSB,,PHO,L,1,42,10,22,.455,8,17,.471,2,5,.400,7,12,.583,4,6,10,8,0,1,1,3,29,24.3
1483,Armen Gilliam\gilliar01,30-312,F-C,1995-04-05,NJN,,CHI,L,1,41,12,19,.632,12,19,.632,0,0,,3,4,.750,4,12,16,8,0,0,2,4,27,26.5
1484,Karl Malone\malonka01,31-254,F,1995-04-04,UTA,,SEA,W,1,40,11,13,.846,11,13,.846,0,0,,9,11,.818,1,16,17,7,1,0,3,2,31,33.1
1485,Grant Hill\hillgr01,22-171,F-G,1995-03-25,DET,,BOS,W,1,45,10,22,.455,10,22,.455,0,0,,13,18,.722,8,8,16,8,3,0,3,3,33,32.0
1486,Chris Webber\webbech01,22-023,F-C,1995-03-24,WSB,@,LAL,L,1,44,13,21,.619,11,17,.647,2,4,.500,3,6,.500,5,8,13,11,4,3,2,3,31,36.8
1487,Grant Hill\hillgr01,22-165,F-G,1995-03-19,DET,@,GSW,L,1,45,12,23,.522,12,22,.545,0,1,.000,7,7,1.000,2,9,11,8,0,0,2,5,31,25.4
1488,Nick Van Exel\vanexni01,23-112,G,1995-03-19,LAL,,SAC,W,1,41,9,18,.500,4,6,.667,5,12,.417,12,13,.923,2,5,7,8,0,0,2,4,35,30.5
1489,Billy Owens\owensbi01,25-320,F-G,1995-03-17,MIA,@,LAC,W,1,43,13,18,.722,13,18,.722,0,0,,3,5,.600,3,7,10,7,1,0,6,4,29,23.3
1490,Karl Malone\malonka01,31-231,F,1995-03-12,UTA,@,MIA,W,1,40,10,19,.526,10,19,.526,0,0,,8,9,.889,0,10,10,7,2,3,2,3,28,27.1
1491,Kenny Anderson\anderke01,24-153,G,1995-03-11,NJN,@,WSB,L,1,42,13,20,.650,9,14,.643,4,6,.667,1,1,1.000,2,6,8,8,0,0,1,1,31,29.6
1492,Vin Baker\bakervi01,23-104,F,1995-03-07,MIL,,POR,L,1,39,12,23,.522,12,22,.545,0,1,.000,3,6,.500,3,9,12,7,0,0,3,6,27,18.8
1493,Eric Murdock\murdoer01,26-266,G,1995-03-07,MIL,,POR,L,0,35,10,14,.714,4,6,.667,6,8,.750,3,4,.750,1,6,7,7,2,1,4,2,29,28.1
1494,Vlade Divac\divacvl01,27-030,C,1995-03-05,LAL,,MIN,W,1,41,10,15,.667,10,15,.667,0,0,,10,14,.714,2,12,14,7,3,4,4,3,30,32.4
1495,Vlade Divac\divacvl01,27-028,C,1995-03-03,LAL,,SAC,W,1,49,8,15,.533,8,15,.533,0,0,,11,14,.786,5,14,19,7,0,3,5,4,27,26.6
1496,Detlef Schrempf\schrede01,32-041,F-C,1995-03-03,SEA,@,PHO,L,1,46,11,19,.579,8,15,.533,3,4,.750,6,6,1.000,2,5,7,8,1,0,2,4,31,28.0
1497,Anfernee Hardaway\hardaan01,23-221,G-F,1995-02-24,ORL,,BOS,W,1,40,9,22,.409,8,18,.444,1,4,.250,8,10,.800,3,4,7,7,1,0,2,1,27,21.2
1498,Jamal Mashburn\mashbja01,22-087,F,1995-02-24,DAL,@,NJN,L,1,45,10,24,.417,7,17,.412,3,7,.429,9,12,.750,4,3,7,8,2,0,2,4,32,25.7
1499,Rod Strickland\stricro02,28-228,G,1995-02-24,POR,,UTA,W,1,38,10,18,.556,7,14,.500,3,4,.750,7,7,1.000,3,4,7,11,0,0,3,4,30,27.8
1500,Rod Strickland\stricro02,28-226,G,1995-02-22,POR,@,GSW,W,1,39,12,20,.600,10,18,.556,2,2,1.000,9,11,.818,2,6,8,14,1,1,1,3,35,37.5
1501,Walt Williams\williwa02,24-312,F-G,1995-02-22,SAC,@,CHH,L,1,46,11,18,.611,8,12,.667,3,6,.500,3,3,1.000,4,3,7,9,1,1,3,2,28,27.7
1502,Juwan Howard\howarju01,22-014,F,1995-02-21,WSB,,DAL,L,1,45,12,25,.480,12,23,.522,0,2,.000,6,6,1.000,5,4,9,7,1,0,4,2,30,23.1
1503,Charles Barkley\barklch01,31-362,F,1995-02-17,PHO,,GSW,L,1,45,15,25,.600,13,18,.722,2,7,.286,6,10,.600,7,6,13,7,0,0,1,6,38,33.1
1504,Latrell Sprewell\sprewla01,24-162,G,1995-02-17,GSW,@,PHO,W,1,49,12,26,.462,11,19,.579,1,7,.143,8,8,1.000,1,6,7,9,3,0,3,3,33,27.2
1505,Juwan Howard\howarju01,22-001,F,1995-02-08,WSB,@,MIA,L,1,46,12,18,.667,12,18,.667,0,0,,7,11,.636,3,7,10,7,2,0,2,3,31,29.5
1506,Isaiah Rider\rideris01,23-332,G,1995-02-07,MIN,,GSW,W,1,42,15,23,.652,9,15,.600,6,8,.750,5,6,.833,3,5,8,9,1,2,3,4,41,38.2
1507,Scottie Pippen\pippesc01,29-131,F-G,1995-02-03,CHI,@,PHO,L,1,46,11,22,.500,8,16,.500,3,6,.500,3,4,.750,3,8,11,7,5,2,5,2,28,26.6
1508,Scottie Pippen\pippesc01,29-126,F-G,1995-01-29,CHI,,GSW,W,1,29,9,13,.692,9,12,.750,0,1,.000,9,9,1.000,4,7,11,8,1,1,1,2,27,31.9
1509,Hakeem Olajuwon\olajuha01,32-003,C,1995-01-24,HOU,@,MIL,W,1,36,13,20,.650,12,19,.632,1,1,1.000,4,6,.667,4,5,9,7,1,1,3,5,31,27.3
1510,Karl Malone\malonka01,31-178,F,1995-01-18,UTA,@,DET,W,1,40,9,19,.474,9,19,.474,0,0,,13,18,.722,1,10,11,8,2,1,2,4,31,27.7
1511,Derrick Coleman\colemde01,27-206,F,1995-01-13,NJN,@,PHI,W,1,44,8,19,.421,7,15,.467,1,4,.250,12,15,.800,4,5,9,7,1,2,3,3,29,25.1
1512,Anfernee Hardaway\hardaan01,23-170,G-F,1995-01-04,ORL,,NJN,W,1,43,11,16,.688,10,14,.714,1,2,.500,10,14,.714,2,6,8,8,3,0,4,0,33,32.4
1513,Dominique Wilkins\wilkido01,34-357,F-G,1995-01-04,BOS,,MIA,W,1,40,10,21,.476,8,16,.500,2,5,.400,9,10,.900,1,6,7,7,2,0,7,2,31,21.5
1514,Hakeem Olajuwon\olajuha01,31-343,C,1994-12-30,HOU,@,UTA,W,1,45,12,25,.480,12,25,.480,0,0,,13,17,.765,1,11,12,7,2,3,3,3,37,31.5
1515,Hakeem Olajuwon\olajuha01,31-340,C,1994-12-27,HOU,,ATL,W,1,42,14,25,.560,14,24,.583,0,1,.000,7,9,.778,1,15,16,8,2,3,3,2,35,33.4
1516,Mitch Richmond\richmmi01,29-166,G,1994-12-13,SAC,@,GSW,W,1,44,10,16,.625,7,11,.636,3,5,.600,6,9,.667,1,6,7,9,0,0,2,5,29,25.4
1517,Gary Payton\paytoga01,26-140,G,1994-12-10,SEA,@,LAC,W,1,53,11,28,.393,11,25,.440,0,3,.000,11,13,.846,1,6,7,14,1,0,4,3,33,25.1
1518,Clyde Drexler\drexlcl01,32-165,G,1994-12-04,POR,,MIL,W,1,42,9,22,.409,4,10,.400,5,12,.417,13,16,.813,3,8,11,9,1,0,1,4,36,32.2
1519,Hakeem Olajuwon\olajuha01,31-314,C,1994-12-01,HOU,@,GSW,W,1,43,13,19,.684,13,19,.684,0,0,,11,14,.786,3,10,13,12,3,2,5,4,37,39.0
1520,Karl Malone\malonka01,31-128,F,1994-11-29,UTA,@,POR,W,1,37,11,17,.647,11,17,.647,0,0,,8,9,.889,1,9,10,8,0,4,2,4,30,30.3
1521,Anfernee Hardaway\hardaan01,23-131,G-F,1994-11-26,ORL,@,MIL,W,1,42,15,23,.652,12,17,.706,3,6,.500,2,4,.500,4,6,10,12,0,0,5,2,35,31.3
1522,Karl Malone\malonka01,31-124,F,1994-11-25,UTA,,CHI,W,1,37,9,20,.450,8,19,.421,1,1,1.000,8,10,.800,1,8,9,8,0,3,1,3,27,24.4
1523,Spud Webb\webbsp01,30-284,G,1994-04-23,SAC,@,PHO,L,1,39,11,20,.550,7,12,.583,4,8,.500,6,7,.857,2,5,7,8,0,0,4,3,32,25.3
1524,Karl Malone\malonka01,30-272,F,1994-04-22,UTA,@,DEN,W,1,43,16,22,.727,16,22,.727,0,0,,6,12,.500,5,7,12,7,0,4,2,2,38,37.1
1525,Scottie Pippen\pippesc01,28-209,F-G,1994-04-22,CHI,,BOS,L,1,50,11,31,.355,10,26,.385,1,5,.200,7,10,.700,2,14,16,7,4,1,4,5,30,20.7
1526,Derrick Coleman\colemde01,26-302,F,1994-04-19,NJN,@,PHI,W,1,44,11,27,.407,11,25,.440,0,2,.000,9,9,1.000,5,7,12,10,2,1,1,1,31,30.4
1527,Ron Harper\harpero01,30-088,G-F,1994-04-18,LAC,,GSW,L,1,47,13,25,.520,12,21,.571,1,4,.250,3,3,1.000,1,8,9,8,1,3,6,3,30,22.3
1528,Chris Mullin\mullich01,30-260,F-G,1994-04-16,GSW,,UTA,W,1,47,11,17,.647,9,11,.818,2,6,.333,4,6,.667,1,7,8,10,2,2,3,1,28,29.5
1529,David Robinson\robinda01,28-253,C,1994-04-16,SAS,,PHO,L,1,48,16,28,.571,16,28,.571,0,0,,7,11,.636,4,11,15,7,4,2,5,2,39,34.8
1530,Kenny Anderson\anderke01,23-188,G,1994-04-15,NJN,,DET,W,1,48,12,26,.462,11,22,.500,1,4,.250,20,23,.870,4,4,8,14,4,0,3,3,45,44.0
1531,Robert Horry\horryro01,23-232,F,1994-04-14,HOU,,SAC,W,1,42,10,14,.714,7,10,.700,3,4,.750,7,10,.700,4,10,14,7,2,2,3,2,30,33.3
1532,Charles Barkley\barklch01,31-047,F,1994-04-08,PHO,@,SAC,L,1,45,12,22,.545,11,18,.611,1,4,.250,5,7,.714,8,8,16,7,1,1,4,5,30,27.2
1533,Sherman Douglas\douglsh01,27-200,G,1994-04-03,BOS,@,PHI,W,1,46,13,18,.722,13,18,.722,0,0,,1,2,.500,5,3,8,22,3,0,4,4,27,36.4
1534,Dee Brown\brownde01,25-115,G,1994-03-24,BOS,@,WSB,W,1,52,15,26,.577,12,23,.522,3,3,1.000,5,6,.833,1,6,7,7,1,0,3,5,38,28.8
1535,Clyde Drexler\drexlcl01,31-273,G,1994-03-22,POR,@,SAC,W,1,44,11,24,.458,11,20,.550,0,4,.000,6,6,1.000,5,7,12,7,1,2,3,1,28,25.1
1536,Tom Gugliotta\guglito01,24-089,F,1994-03-18,WSB,@,POR,L,1,41,15,24,.625,13,21,.619,2,3,.667,0,0,,5,4,9,9,5,1,4,2,32,33.1
1537,Karl Malone\malonka01,30-234,F,1994-03-15,UTA,@,LAC,L,1,40,14,26,.538,14,25,.560,0,1,.000,6,8,.750,6,8,14,7,0,2,3,2,34,29.7
1538,Ron Harper\harpero01,30-052,G-F,1994-03-13,LAC,,GSW,W,1,52,14,31,.452,10,20,.500,4,11,.364,7,9,.778,6,5,11,9,6,0,6,2,39,33.3
1539,David Robinson\robinda01,28-218,C,1994-03-12,SAS,@,HOU,W,1,48,15,26,.577,15,26,.577,0,0,,10,14,.714,4,12,16,7,2,4,5,3,40,36.1
1540,Jim Jackson\jacksji01,23-148,G,1994-03-11,DAL,@,LAC,L,1,42,15,33,.455,13,31,.419,2,2,1.000,5,6,.833,9,3,12,8,3,0,3,2,37,31.5
1541,Anfernee Hardaway\hardaan01,22-234,G-F,1994-03-09,ORL,@,PHI,W,1,41,11,18,.611,11,17,.647,0,1,.000,6,7,.857,3,6,9,9,5,2,4,1,28,31.6
1542,David Robinson\robinda01,28-212,C,1994-03-06,SAS,,ORL,W,1,40,14,26,.538,14,26,.538,0,0,,8,8,1.000,5,8,13,7,3,6,4,4,36,35.8
1543,Eric Murdock\murdoer01,25-264,G,1994-03-05,MIL,,DET,W,1,33,8,15,.533,7,13,.538,1,2,.500,11,11,1.000,2,5,7,11,6,0,3,2,28,33.5
1544,David Robinson\robinda01,28-210,C,1994-03-04,SAS,,LAC,W,1,45,14,21,.667,14,21,.667,0,0,,13,14,.929,3,13,16,8,3,3,2,1,41,45.8
1545,Lionel Simmons\simmoli01,25-102,F,1994-02-24,SAC,,LAL,W,1,45,10,18,.556,10,18,.556,0,0,,9,12,.750,3,6,9,9,0,2,3,3,29,26.6
1546,Rik Smits\smitsri01,27-183,C,1994-02-22,IND,,DAL,W,1,34,11,17,.647,11,17,.647,0,0,,5,6,.833,1,10,11,8,0,3,4,4,27,24.9
1547,Danny Manning\mannida01,27-277,F-C,1994-02-18,LAC,,ATL,L,1,45,10,24,.417,10,24,.417,0,0,,7,8,.875,1,12,13,9,0,2,4,5,27,19.8
1548,David Robinson\robinda01,28-195,C,1994-02-17,SAS,,DET,W,1,43,12,20,.600,12,20,.600,0,0,,10,17,.588,5,5,10,10,2,10,1,1,34,41.6
1549,Mitch Richmond\richmmi01,28-231,G,1994-02-16,SAC,,PHI,W,1,44,10,15,.667,8,13,.615,2,2,1.000,9,12,.750,1,11,12,10,1,0,7,4,31,26.7
1550,Hakeem Olajuwon\olajuha01,31-025,C,1994-02-15,HOU,,ATL,W,1,46,14,28,.500,14,28,.500,0,0,,0,0,,5,9,14,7,1,4,2,4,28,25.3
1551,David Robinson\robinda01,28-193,C,1994-02-15,SAS,,IND,W,1,46,11,25,.440,11,25,.440,0,0,,12,17,.706,3,7,10,9,4,4,2,1,34,33.8
