Rk,Player,Age,Pos,Date,Tm,,Opp,,GS,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc
160,LeBron James\jamesle01,31-082,F-G,2016-03-21,CLE,,DEN,W,1,33,12,19,.632,11,17,.647,1,2,.500,8,11,.727,3,8,11,11,0,0,3,2,33,31.7
161,Kevin Durant\duranke01,27-172,F-G,2016-03-19,OKC,@,IND,W,1,37,11,20,.550,8,12,.667,3,8,.375,8,10,.800,2,11,13,8,3,1,3,3,33,32.4
162,Zach Randolph\randoza01,34-247,F,2016-03-19,MEM,,LAC,W,1,36,10,19,.526,10,18,.556,0,1,.000,8,8,1.000,3,8,11,10,0,0,2,4,28,26.6
163,Stephen Curry\curryst01,28-004,G,2016-03-18,GSW,@,DAL,W,1,34,12,26,.462,6,14,.429,6,12,.500,1,1,1.000,1,8,9,10,2,0,1,2,31,27.9
164,Kevin Durant\duranke01,27-169,F-G,2016-03-16,OKC,@,BOS,W,1,30,9,19,.474,7,14,.500,2,5,.400,8,9,.889,1,6,7,9,0,2,1,3,28,25.9
165,John Wall\walljo01,25-192,G,2016-03-16,WAS,,CHI,W,1,39,11,19,.579,9,16,.563,2,3,.667,5,6,.833,1,9,10,12,3,1,8,0,29,27.2
166,Kyle Lowry\lowryky01,29-355,G,2016-03-14,TOR,,CHI,L,1,41,10,20,.500,8,15,.533,2,5,.400,11,13,.846,1,10,11,7,3,0,3,4,33,29.2
167,Giannis Antetokounmpo\antetgi01,21-098,F-G,2016-03-13,MIL,@,BRK,W,1,41,12,16,.750,12,16,.750,0,0,,4,11,.364,3,8,11,14,4,2,3,1,28,35.1
168,DeMar DeRozan\derozde01,26-218,G,2016-03-12,TOR,,MIA,W,1,43,13,26,.500,13,24,.542,0,2,.000,12,15,.800,0,10,10,7,2,1,3,1,38,31.0
169,Kevin Durant\duranke01,27-162,F-G,2016-03-09,OKC,,LAC,W,1,36,11,20,.550,6,12,.500,5,8,.625,3,4,.750,1,11,12,7,1,0,6,4,30,22.3
170,James Harden\hardeja01,26-196,G,2016-03-09,HOU,@,PHI,W,1,41,8,26,.308,8,18,.444,0,8,.000,13,13,1.000,2,7,9,8,1,1,4,4,29,19.2
171,Kemba Walker\walkeke02,25-306,G,2016-03-09,CHO,,NOP,W,1,36,9,18,.500,4,8,.500,5,10,.500,12,16,.750,1,6,7,7,2,0,0,2,35,33.0
172,Kevin Durant\duranke01,27-159,F-G,2016-03-06,OKC,@,MIL,W,1,40,6,14,.429,2,5,.400,4,9,.444,16,18,.889,1,12,13,8,2,1,5,2,32,30.6
173,LeBron James\jamesle01,31-066,F-G,2016-03-05,CLE,,BOS,W,1,36,11,20,.550,10,16,.625,1,4,.250,5,9,.556,4,7,11,8,2,1,4,2,28,25.2
174,Giannis Antetokounmpo\antetgi01,21-089,F-G,2016-03-04,MIL,,MIN,W,1,35,9,17,.529,9,17,.529,0,0,,9,10,.900,2,7,9,12,3,2,4,2,27,29.8
175,Paul George\georgpa01,25-307,F,2016-03-04,IND,@,CHO,L,1,36,11,23,.478,7,14,.500,4,9,.444,9,10,.900,2,5,7,7,5,1,1,4,35,33.8
176,Kevin Durant\duranke01,27-156,F-G,2016-03-03,OKC,@,GSW,L,1,39,11,17,.647,11,16,.688,0,1,.000,10,11,.909,0,10,10,9,1,2,9,1,32,26.4
177,James Harden\hardeja01,26-189,G,2016-03-02,HOU,,NOP,W,1,40,11,24,.458,10,15,.667,1,9,.111,16,18,.889,3,9,12,7,4,1,8,3,39,31.0
178,Chris Paul\paulch01,30-296,G,2016-02-26,LAC,@,SAC,W,1,36,13,20,.650,9,11,.818,4,9,.444,10,10,1.000,1,7,8,13,2,0,2,1,40,42.7
179,Stephen Curry\curryst01,27-348,G,2016-02-25,GSW,@,ORL,W,1,34,20,27,.741,10,12,.833,10,15,.667,1,1,1.000,0,7,7,8,0,1,5,1,51,43.1
180,Kevin Durant\duranke01,27-149,F-G,2016-02-25,OKC,@,NOP,L,1,39,13,23,.565,10,16,.625,3,7,.429,3,4,.750,1,13,14,7,0,2,4,1,32,27.2
181,Stephen Curry\curryst01,27-347,G,2016-02-24,GSW,@,MIA,W,1,36,14,29,.483,8,17,.471,6,12,.500,8,8,1.000,3,4,7,7,1,1,7,0,42,30.2
182,Giannis Antetokounmpo\antetgi01,21-078,F-G,2016-02-22,MIL,,LAL,W,1,42,12,17,.706,12,16,.750,0,1,.000,3,6,.500,2,10,12,10,3,4,1,3,27,33.7
183,James Harden\hardeja01,26-177,G,2016-02-19,HOU,@,PHO,W,1,33,6,16,.375,5,7,.714,1,9,.111,14,17,.824,1,9,10,7,3,1,2,5,27,25.0
184,James Harden\hardeja01,26-168,G,2016-02-10,HOU,@,POR,L,1,42,10,20,.500,7,12,.583,3,8,.375,11,14,.786,2,7,9,11,2,0,8,4,34,26.4
185,LeBron James\jamesle01,31-042,F-G,2016-02-10,CLE,,LAL,W,1,37,12,22,.545,9,16,.563,3,6,.500,2,5,.400,1,6,7,11,1,0,1,1,29,27.0
