,,,,,,Criteria,Criteria,Criteria,Criteria,Totals,Totals,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Shooting,Shooting,Shooting,Shooting,Shooting,Shooting
Rk,Player,Season▼,Age,Tm,Lg,TRB,AST,PTS,WS,G,GS,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,STL,BLK,TOV,PF,FG%,2P%,3P%,eFG%,FT%,TS%
69,Wilt Chamberlain\chambwi01,1963-64,27,SFW,NBA,22.3,5.0,36.9,25.0,80,,46.1,15.1,28.7,15.1,28.7,,,6.8,12.7,,,,,,2.3,.524,.524,,.524,.531,.537
70,Oscar Robertson\roberos01,1963-64,25,CIN,NBA,9.9,11.0,31.4,20.6,79,,45.1,10.6,22.0,10.6,22.0,,,10.1,11.9,,,,,,3.5,.483,.483,,.483,.853,.576
71,Jerry West\westje01,1963-64,25,LAL,NBA,6.0,5.6,28.7,14.0,72,,40.4,10.3,21.2,10.3,21.2,,,8.1,9.8,,,,,,2.8,.484,.484,,.484,.832,.562
72,Oscar Robertson\roberos01,1962-63,24,CIN,NBA,10.4,9.5,28.3,16.8,80,,44.0,10.3,19.9,10.3,19.9,,,7.7,9.5,,,,,,3.7,.518,.518,,.518,.810,.588
73,Jerry West\westje01,1962-63,24,LAL,NBA,7.0,5.6,27.1,8.1,55,,39.3,10.2,22.1,10.2,22.1,,,6.7,8.7,,,,,,2.7,.461,.461,,.461,.778,.523
74,Oscar Robertson\roberos01,1961-62,23,CIN,NBA,12.5,11.4,30.8,15.6,79,,44.3,11.0,22.9,11.0,22.9,,,8.9,11.0,,,,,,3.3,.478,.478,,.478,.803,.554
75,Jerry West\westje01,1961-62,23,LAL,NBA,7.9,5.4,30.8,12.9,75,,41.2,10.7,23.9,10.7,23.9,,,9.5,12.3,,,,,,2.3,.445,.445,,.445,.769,.524
76,Richie Guerin\gueriri01,1961-62,29,NYK,NBA,6.4,6.9,29.5,12.1,78,,42.9,10.8,24.3,10.8,24.3,,,8.0,9.8,,,,,,3.8,.442,.442,,.442,.820,.516
77,Elgin Baylor\bayloel01,1960-61,26,LAL,NBA,19.8,5.1,34.8,14.8,73,,42.9,12.8,29.7,12.8,29.7,,,9.3,11.8,,,,,,3.8,.430,.430,,.430,.783,.498
78,Oscar Robertson\roberos01,1960-61,22,CIN,NBA,10.1,9.7,30.5,13.2,71,,42.7,10.6,22.5,10.6,22.5,,,9.2,11.2,,,,,,3.1,.473,.473,,.473,.822,.555
